Sample in Buffer,Sample in Window,TRIGGER,design_1_i/encoder_counter_0_counter[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
389,389,0,80
390,390,0,80
391,391,0,80
392,392,0,80
393,393,0,80
394,394,0,80
395,395,0,80
396,396,0,80
397,397,0,80
398,398,0,80
399,399,0,80
400,400,0,80
401,401,0,80
402,402,0,80
403,403,0,80
404,404,0,80
405,405,0,80
406,406,0,80
407,407,0,80
408,408,0,80
409,409,0,80
410,410,0,80
411,411,0,80
412,412,0,80
413,413,0,80
414,414,0,80
415,415,0,80
416,416,0,80
417,417,0,80
418,418,0,80
419,419,0,80
420,420,0,80
421,421,0,80
422,422,0,80
423,423,0,80
424,424,0,80
425,425,0,80
426,426,0,80
427,427,0,80
428,428,0,80
429,429,0,80
430,430,0,80
431,431,0,80
432,432,0,80
433,433,0,80
434,434,0,80
435,435,0,80
436,436,0,80
437,437,0,80
438,438,0,80
439,439,0,80
440,440,0,80
441,441,0,80
442,442,0,80
443,443,0,80
444,444,0,80
445,445,0,80
446,446,0,80
447,447,0,80
448,448,0,80
449,449,0,80
450,450,0,80
451,451,0,80
452,452,0,80
453,453,0,80
454,454,0,80
455,455,0,80
456,456,0,80
457,457,0,80
458,458,0,80
459,459,0,80
460,460,0,80
461,461,0,80
462,462,0,80
463,463,0,80
464,464,0,80
465,465,0,80
466,466,0,80
467,467,0,80
468,468,0,80
469,469,0,80
470,470,0,80
471,471,0,80
472,472,0,80
473,473,0,80
474,474,0,80
475,475,0,80
476,476,0,80
477,477,0,80
478,478,0,80
479,479,0,80
480,480,0,80
481,481,0,80
482,482,0,80
483,483,0,80
484,484,0,80
485,485,0,80
486,486,0,80
487,487,0,80
488,488,0,80
489,489,0,80
490,490,0,80
491,491,0,80
492,492,0,80
493,493,0,80
494,494,0,80
495,495,0,80
496,496,0,80
497,497,0,80
498,498,0,80
499,499,0,80
500,500,0,80
501,501,0,80
502,502,0,80
503,503,0,80
504,504,0,80
505,505,0,80
506,506,0,80
507,507,0,80
508,508,0,80
509,509,0,80
510,510,0,80
511,511,0,80
512,512,1,80
513,513,0,80
514,514,0,80
515,515,0,80
516,516,0,80
517,517,0,80
518,518,0,80
519,519,0,80
520,520,0,80
521,521,0,80
522,522,0,80
523,523,0,80
524,524,0,80
525,525,0,80
526,526,0,80
527,527,0,80
528,528,0,80
529,529,0,80
530,530,0,80
531,531,0,80
532,532,0,80
533,533,0,80
534,534,0,80
535,535,0,80
536,536,0,80
537,537,0,80
538,538,0,80
539,539,0,80
540,540,0,80
541,541,0,80
542,542,0,80
543,543,0,80
544,544,0,80
545,545,0,80
546,546,0,80
547,547,0,80
548,548,0,80
549,549,0,80
550,550,0,80
551,551,0,80
552,552,0,80
553,553,0,80
554,554,0,80
